Season,Team,G,Date,Home,Opp,W/L,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2019,BOS,54,2019-02-05,A,CLE,W,103,96,40,82,.488,9,26,.346,14,14,1.000,8,42,29,10,10,13,14,40,96,.417,9,33,.273,7,8,.875,15,47,21,6,0,12,17
2019,BOS,55,2019-02-07,H,LAL,L,128,129,46,94,.489,16,38,.421,20,20,1.000,11,48,35,7,5,8,16,50,97,.515,22,41,.537,7,18,.389,10,43,35,5,6,8,19
2019,BOS,56,2019-02-09,H,LAC,L,112,123,39,92,.424,9,26,.346,25,31,.806,8,45,21,9,3,12,29,40,84,.476,12,30,.400,31,40,.775,6,49,28,6,6,17,27
2019,BOS,57,2019-02-12,A,PHI,W,112,109,41,88,.466,13,29,.448,17,21,.810,8,41,24,9,3,5,23,39,80,.488,9,27,.333,22,31,.710,10,47,21,4,3,14,20
2019,BOS,58,2019-02-13,H,DET,W,118,110,45,88,.511,16,39,.410,12,15,.800,10,47,32,8,2,16,22,36,84,.429,13,40,.325,25,34,.735,10,41,19,7,1,11,18
2019,BOS,59,2019-02-21,A,MIL,L,97,98,39,102,.382,14,40,.350,5,6,.833,12,50,19,11,9,7,15,37,88,.420,14,39,.359,10,14,.714,9,55,21,5,4,15,11
2019,BOS,60,2019-02-23,A,CHI,L,116,126,45,92,.489,10,29,.345,16,21,.762,6,32,26,6,7,7,18,47,88,.534,12,30,.400,20,21,.952,11,49,26,4,2,13,22
2019,BOS,61,2019-02-26,A,TOR,L,95,118,33,86,.384,6,30,.200,23,28,.821,10,47,24,6,4,14,20,46,94,.489,17,36,.472,9,14,.643,8,45,33,7,5,8,24
2019,BOS,62,2019-02-27,H,POR,L,92,97,40,86,.465,5,28,.179,7,10,.700,8,41,20,5,4,16,20,38,90,.422,6,33,.182,15,20,.750,13,48,14,11,2,11,15
2019,BOS,63,2019-03-01,H,WAS,W,107,96,42,94,.447,10,35,.286,13,17,.765,11,46,26,12,3,12,18,36,89,.404,10,38,.263,14,19,.737,11,53,20,7,6,18,16
2019,BOS,64,2019-03-03,H,HOU,L,104,115,37,77,.481,8,28,.286,22,29,.759,8,44,23,7,0,13,23,38,80,.475,21,51,.412,18,29,.621,10,42,22,8,4,12,23
2019,BOS,65,2019-03-05,A,GSW,W,128,95,49,96,.510,14,34,.412,16,17,.941,9,46,38,12,5,11,24,34,85,.400,8,35,.229,19,23,.826,9,45,26,5,2,21,24
