Season,Team,Gtm,Date,Home,Opp,Rslt,Team_pts,Opp_pts,OT,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,2P,2PA,2P%,eFG%,Team_FT,Team_FTA,Team_FT%,Team_ORB,DRB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,2P.1,2PA.1,2P%.1,eFG%.1,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,DRB.1,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2025,DEN,17,2024-11-27,A,UTA,W,122,103,,46,84,.548,11,33,.333,35,51,.686,.613,19,23,.826,10,29,39,30,10,8,11,14,38,90,.422,16,43,.372,22,47,.468,.511,11,18,.611,21,26,47,25,7,5,19,17
2025,DEN,18,2024-12-01,A,LAC,L,122,126,,51,88,.580,10,24,.417,41,64,.641,.636,10,19,.526,8,31,39,37,7,3,14,17,43,90,.478,18,39,.462,25,51,.490,.578,22,27,.815,13,29,42,28,8,4,14,16
2025,DEN,19,2024-12-03,H,GSW,W,119,115,,40,79,.506,11,24,.458,29,55,.527,.576,28,35,.800,4,34,38,32,9,5,15,15,44,95,.463,12,38,.316,32,57,.561,.526,15,21,.714,11,37,48,36,12,3,15,25
2025,DEN,20,2024-12-05,A,CLE,L,114,126,,46,96,.479,6,24,.250,40,72,.556,.510,16,22,.727,9,40,49,25,12,5,16,13,47,94,.500,22,48,.458,25,46,.543,.617,10,16,.625,9,38,47,32,9,3,17,17
2025,DEN,21,2024-12-07,A,WAS,L,113,122,,46,95,.484,5,25,.200,41,70,.586,.511,16,27,.593,16,32,48,34,11,6,15,23,45,93,.484,16,41,.390,29,52,.558,.570,16,22,.727,15,31,46,31,9,12,17,21
2025,DEN,22,2024-12-08,A,ATL,W,141,111,,56,89,.629,12,27,.444,44,62,.710,.697,17,24,.708,7,36,43,43,9,5,20,22,41,101,.406,9,40,.225,32,61,.525,.450,20,27,.741,19,26,45,26,12,2,12,22
2025,DEN,23,2024-12-13,H,LAC,W,120,98,,42,77,.545,10,29,.345,32,48,.667,.610,26,32,.813,5,41,46,23,15,2,22,16,37,83,.446,14,41,.341,23,42,.548,.530,10,18,.556,5,26,31,24,18,2,19,22
2025,DEN,24,2024-12-16,A,SAC,W,130,129,,51,102,.500,10,28,.357,41,74,.554,.549,18,24,.750,15,40,55,38,9,4,15,18,49,102,.480,12,35,.343,37,67,.552,.539,19,20,.950,11,31,42,28,10,9,11,23
2025,DEN,25,2024-12-19,A,POR,L,124,126,,47,87,.540,15,34,.441,32,53,.604,.626,15,21,.714,8,32,40,35,7,3,11,20,45,97,.464,16,46,.348,29,51,.569,.546,20,24,.833,15,30,45,29,7,7,10,18
2025,DEN,26,2024-12-22,A,NOP,W,132,129,OT,49,97,.505,10,33,.303,39,64,.609,.557,24,32,.750,14,40,54,34,10,8,22,19,50,108,.463,12,40,.300,38,68,.559,.519,17,23,.739,9,34,43,37,16,9,15,23
2025,DEN,27,2024-12-23,H,PHO,W,117,90,,46,90,.511,16,41,.390,30,49,.612,.600,9,11,.818,11,35,46,35,6,4,12,15,33,83,.398,13,33,.394,20,50,.400,.476,11,15,.733,9,30,39,23,6,5,15,13
2025,DEN,28,2024-12-25,A,PHO,L,100,110,,36,78,.462,8,29,.276,28,49,.571,.513,20,28,.714,14,32,46,20,3,2,16,16,41,88,.466,11,36,.306,30,52,.577,.528,17,20,.850,12,30,42,31,12,4,9,17
2025,DEN,29,2024-12-27,H,CLE,L,135,149,,53,94,.564,15,31,.484,38,63,.603,.644,14,18,.778,8,30,38,39,8,3,13,20,54,96,.563,23,48,.479,31,48,.646,.682,18,22,.818,9,29,38,40,10,7,11,17
2025,DEN,30,2024-12-28,H,DET,W,134,121,,46,82,.561,13,27,.481,33,55,.600,.640,29,36,.806,8,32,40,29,9,6,14,18,46,95,.484,12,39,.308,34,56,.607,.547,17,23,.739,15,26,41,29,8,1,12,25
2025,DEN,31,2024-12-30,A,UTA,W,132,121,,53,105,.505,9,30,.300,44,75,.587,.548,17,19,.895,17,34,51,38,13,3,7,17,44,86,.512,13,38,.342,31,48,.646,.587,20,22,.909,7,30,37,28,6,2,16,17
2025,DEN,32,2025-01-01,H,ATL,W,139,120,,53,94,.564,12,30,.400,41,64,.641,.628,21,21,1.000,4,39,43,44,8,5,13,16,45,100,.450,16,46,.348,29,54,.537,.530,14,21,.667,12,32,44,34,10,5,14,16
2025,DEN,33,2025-01-03,H,SAS,L,110,113,,42,97,.433,15,39,.385,27,58,.466,.510,11,16,.688,10,36,46,33,7,7,8,13,46,99,.465,13,36,.361,33,63,.524,.530,8,13,.615,14,42,56,31,4,3,13,15
2025,DEN,34,2025-01-04,A,SAS,W,122,111,OT,47,108,.435,10,33,.303,37,75,.493,.481,18,23,.783,14,44,58,32,11,7,7,17,41,104,.394,13,48,.271,28,56,.500,.457,16,18,.889,13,45,58,28,3,7,14,20
2025,DEN,35,2025-01-07,H,BOS,L,106,118,,40,87,.460,14,36,.389,26,51,.510,.540,12,15,.800,13,26,39,22,6,6,16,17,44,88,.500,12,35,.343,32,53,.604,.568,18,20,.900,11,30,41,30,11,7,12,13
2025,DEN,36,2025-01-08,H,LAC,W,126,103,,49,89,.551,17,35,.486,32,54,.593,.646,11,17,.647,7,38,45,29,7,3,12,24,30,80,.375,11,38,.289,19,42,.452,.444,32,40,.800,9,31,40,14,8,6,12,15
2025,DEN,37,2025-01-10,H,BRK,W,124,105,,45,87,.517,9,24,.375,36,63,.571,.569,25,33,.758,12,37,49,34,12,5,15,18,38,90,.422,14,45,.311,24,45,.533,.500,15,19,.789,10,29,39,26,9,5,17,24
2025,DEN,38,2025-01-12,A,DAL,W,112,101,,46,94,.489,7,32,.219,39,62,.629,.527,13,20,.650,15,40,55,23,6,5,14,19,35,85,.412,12,34,.353,23,51,.451,.482,19,25,.760,8,29,37,27,7,5,12,20
2025,DEN,39,2025-01-14,A,DAL,W,118,99,,43,83,.518,13,29,.448,30,54,.556,.596,19,22,.864,11,40,51,28,9,7,20,20,38,90,.422,9,32,.281,29,58,.500,.472,14,22,.636,8,22,30,27,14,6,12,17
2025,DEN,40,2025-01-15,H,HOU,L,108,128,,40,75,.533,14,29,.483,26,46,.565,.627,14,21,.667,9,27,36,22,4,7,20,16,49,94,.521,17,38,.447,32,56,.571,.612,13,17,.765,14,26,40,28,14,6,11,19
2025,DEN,41,2025-01-17,A,MIA,W,133,113,,50,92,.543,16,33,.485,34,59,.576,.630,17,19,.895,7,34,41,35,5,1,6,10,45,91,.495,9,33,.273,36,58,.621,.544,14,14,1.000,6,35,41,30,2,0,8,15
2025,DEN,42,2025-01-19,A,ORL,W,113,100,,40,77,.519,7,25,.280,33,52,.635,.565,26,31,.839,13,44,57,24,6,8,21,16,38,102,.373,12,41,.293,26,61,.426,.431,12,16,.750,16,23,39,30,15,6,7,19
2025,DEN,43,2025-01-21,H,PHI,W,144,109,,52,85,.612,16,31,.516,36,54,.667,.706,24,25,.960,14,37,51,39,7,4,14,10,44,96,.458,15,38,.395,29,58,.500,.536,6,8,.750,8,17,25,34,7,4,10,20
2025,DEN,44,2025-01-23,H,SAC,W,132,123,,49,101,.485,13,37,.351,36,64,.563,.550,21,31,.677,15,41,56,30,10,8,11,14,47,107,.439,15,41,.366,32,66,.485,.509,14,19,.737,17,36,53,31,5,3,13,20
2025,DEN,45,2025-01-25,A,MIN,L,104,133,,43,88,.489,11,32,.344,32,56,.571,.551,7,13,.538,14,22,36,32,7,3,20,13,53,95,.558,14,30,.467,39,65,.600,.632,13,15,.867,18,27,45,38,14,4,16,14
2025,DEN,46,2025-01-27,A,CHI,L,121,129,,52,100,.520,6,27,.222,46,73,.630,.550,11,11,1.000,12,30,42,36,13,5,15,11,49,98,.500,24,53,.453,25,45,.556,.622,7,8,.875,13,34,47,35,11,5,17,14
2025,DEN,47,2025-01-29,A,NYK,L,112,122,,41,84,.488,10,28,.357,31,56,.554,.548,20,23,.870,11,36,47,21,3,5,14,19,48,93,.516,14,34,.412,34,59,.576,.591,12,18,.667,6,29,35,33,7,2,6,16
2025,DEN,48,2025-01-31,A,PHI,W,137,134,,54,82,.659,12,23,.522,42,59,.712,.732,17,18,.944,9,26,35,39,7,2,19,17,50,90,.556,21,40,.525,29,50,.580,.672,13,16,.813,11,16,27,29,12,3,14,16
2025,DEN,49,2025-02-01,A,CHO,W,107,104,,41,88,.466,7,37,.189,34,51,.667,.506,18,20,.900,8,35,43,29,9,9,11,16,41,95,.432,9,26,.346,32,69,.464,.479,13,17,.765,13,38,51,31,5,6,12,13
2025,DEN,50,2025-02-03,H,NOP,W,125,113,,46,92,.500,12,33,.364,34,59,.576,.565,21,26,.808,14,32,46,28,7,6,6,16,38,88,.432,18,38,.474,20,50,.400,.534,19,22,.864,14,27,41,27,5,4,10,21
2025,DEN,51,2025-02-05,H,NOP,W,144,119,,57,100,.570,16,43,.372,41,57,.719,.650,14,15,.933,13,38,51,40,9,4,9,21,43,93,.462,10,29,.345,33,64,.516,.516,23,26,.885,10,28,38,26,5,3,11,10
